Id,Prompt,Completion
304,ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱹᱵᱩᱫᱟᱱ ᱪᱟᱥ ᱨᱮ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢᱼᱟ?,"ᱰᱨᱚᱱ ᱠᱚᱫᱚ ᱨᱚᱥᱤᱭᱟᱱᱟᱜ ᱵᱮᱶᱦᱟᱨ ᱠᱚᱢᱼᱟ, ᱚᱛᱢᱚᱱ ᱠᱚ ᱥᱟᱧᱪᱟᱣᱼᱟ ᱟᱨ ᱦᱚᱭᱦᱩᱫᱤᱥ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱟᱹᱵᱩᱫᱟᱱ ᱪᱟᱥ ᱦᱚᱨᱟ ᱠᱚ ᱜᱚᱲᱚᱼᱟ ᱾"
305,ᱯᱷᱚᱞᱮ ᱥᱟᱢᱲᱟᱣ ᱨᱮ ᱰᱨᱚᱱ ꯇꯦꯛꯅꯣꯂꯣꯖꯤ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱞᱮᱠᱟᱛᱮ ᱪᱮᱫ ᱮᱥᱮᱨ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱰᱨᱚᱱ ꯇꯦꯛꯅꯣꯂꯣꯖꯤ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮᱭ ᱵᱟᱹᱲᱛᱤᱣᱟ, ᱯᱷᱚᱞᱮ ᱧᱮᱞ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮᱭ ᱵᱟᱹᱲᱛᱤᱣᱟ, ᱦᱟᱹᱱ ᱠᱚᱢᱼᱟ ᱟᱨ ᱚᱛᱢᱚᱱᱛᱚ ᱥᱟᱸᱶᱛᱟᱣᱟᱱ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱮ ᱯᱟᱥᱱᱟᱣᱼᱟ ᱾"
306,ᱰᱨᱚᱱ ꯇꯦꯛꯅꯣꯂꯣꯖꯤ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱪᱟᱥ ᱨᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱟᱱᱟᱜ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,"ᱱᱚᱶᱟ ᱫᱚ ᱜᱚᱴᱟᱵᱩᱴᱟᱹ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ, ᱜᱚᱴᱟᱵᱩᱴᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱣᱦᱟᱨ, ᱠᱟᱹᱢᱤ ᱟᱱ ᱩᱯᱟᱹᱭ ᱵᱮᱣᱦᱟᱨ ᱟᱨ ᱵᱟᱹᱲᱛᱤ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱛᱮ ᱯᱷᱚᱞᱮ ᱥᱟᱢᱲᱟᱣ ᱨᱮ ᱵᱤᱵᱚᱨᱚᱱ ᱮ ᱩᱫᱩᱜᱟ ᱾"
307,ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱬᱩᱫ ᱮᱥᱤᱠᱳᱥᱴᱚᱢ ᱯᱚᱨᱤᱥᱮᱵᱟ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱫᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱚᱡᱮ ᱫᱚ ᱱᱚᱶᱟ ᱫᱚ ᱟᱹᱰᱤ ᱜᱟᱱ ᱯᱷᱚᱞᱮ ᱟᱨ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱡᱟᱱᱟᱢ ᱮ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱟᱨ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
308,ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱡᱚᱢᱟᱜ ᱵᱮᱱᱟᱣ ᱨᱮᱭᱟᱜ ᱛᱤᱱᱟᱹᱜ ᱦᱟᱹᱴᱤᱧ ᱯᱚᱞᱤᱱᱟᱴᱟᱨ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱡᱚᱢᱟᱜ ᱵᱮᱱᱟᱣ ᱨᱮᱭᱟᱜ ᱚᱱᱢᱟᱱ 35 ᱥᱟᱭᱦᱤᱸᱥ ᱯᱚᱨᱟᱢᱚᱥᱟᱱ ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱛᱟᱦᱮᱸᱱᱟ, ᱮᱴᱟᱜ ᱥᱮᱪ ꯒꯦꯍꯨ, ᱢᱮᱠᱩᱱ ᱟᱨ ꯆꯦꯡ (65 ᱥᱟᱭᱦᱤᱸᱥ) ᱞᱮᱠᱟᱱ ᱢᱩᱲᱩᱫ ᱪᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱠᱩᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱟᱢᱮᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱵᱟᱝ ᱛᱟᱦᱮᱸᱱᱟ ᱾"
309,ᱢᱩᱭᱤ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱢᱟᱨᱟᱝ ᱯᱚᱞᱤᱱᱟᱴᱟᱨ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,"ᱚᱛᱢᱚᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ, ᱚᱛᱢᱚᱱ ᱤᱫᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮ, ᱵᱚᱱᱫᱮᱡ ᱨᱮᱭᱟᱜ ᱪᱷᱟᱹᱲ ᱟᱨ ᱟᱭᱢᱟ ᱚᱛᱢᱚᱱ ᱨᱮ ᱪᱟᱞᱟᱣ ᱨᱮᱭᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱢᱩᱭᱤ ᱠᱚᱫᱚ ᱟᱹᱰᱤ ᱠᱟᱹᱢᱤ ᱟᱱ ᱯᱚᱨᱤᱱᱳᱡᱚᱠ ᱾"
310,ᱢᱩᱭᱟᱹ ᱢᱩᱫ ᱨᱮ ᱯᱷᱳᱞᱟᱨ ᱯᱷᱤᱰᱮᱞᱤᱴᱤ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱪᱮᱫ?,"ᱯᱷᱚᱞᱟᱨᱟᱞ ᱯᱷᱤᱰᱮᱞᱤᱴᱤ ᱚᱱᱟ ᱵᱚᱱᱚᱫᱚᱞ ᱮ ᱩᱫᱩᱜᱟ ᱡᱟᱦᱟᱸ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱭᱟᱹ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱯᱷᱳᱨᱮᱡᱤᱝ ᱴᱨᱤᱯ ᱚᱠᱛᱮ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱚᱛᱢᱚᱱ ᱞᱮᱠᱟᱱ ᱠᱚ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱮ ᱪᱟᱞᱟᱣ ᱞᱮᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱮᱥᱮᱨᱟᱱ ᱯᱚᱨᱟᱢᱮᱥᱚᱱ ᱮ ᱜᱚᱴᱟ ᱞᱮᱫᱟ ᱾"
311,ᱯᱚᱞᱤᱱᱟᱴᱟᱨ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱛᱢᱚᱱ ᱟᱨ ᱟᱡᱜᱮ ᱠᱚ ᱥᱟᱨᱵᱷᱟᱨᱼᱟ?,"ᱯᱚᱞᱤᱱᱟᱴᱟᱨ ᱠᱚᱫᱚ ᱚᱢᱚᱨ ᱟᱨ ᱯᱳᱞᱮᱱ ᱞᱮᱠᱟᱱ ᱡᱚᱢᱟᱜ ᱠᱚ ᱧᱟᱢᱼᱟ, ᱮᱴᱟᱜ ᱥᱮᱪ ᱚᱛᱢᱚᱱ ᱠᱚ ᱠᱟᱹᱢᱤᱣᱟᱱ ᱯᱳᱞᱮᱱ ᱵᱚᱱᱚᱫᱚᱞ ᱛᱟᱞᱟᱛᱮ ᱥᱤᱜᱤᱞᱚᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱯᱷᱮᱨᱴᱤᱞᱤᱡᱮᱥᱚᱱ ᱟᱨ ᱡᱟᱱᱟᱢ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
312,ᱢᱩᱭᱟᱹ ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱢᱮᱱᱟᱜ ᱠᱤᱪᱷᱩ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱞᱟᱹᱭ ᱢᱮ ᱾,"ᱪᱟᱥ ᱢᱩᱫᱽᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱢᱚᱞ, ᱟᱢᱚᱞ, ᱴᱟᱢᱚᱴᱳ, ᱠᱩᱪᱤ, ᱥᱩᱱᱯᱷᱚᱞᱳᱣᱟᱨ, ᱯᱮᱡᱤ, ᱜᱟᱨᱴ, ᱥᱴᱨᱟᱵᱮᱨᱤ ᱟᱨ ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱱᱚᱴ ᱟᱨ ᱥᱤᱵᱟᱡᱤ ᱾"
313,ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱯᱚᱨᱤᱥᱮᱵᱟ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱣᱰᱤ ᱟᱹᱨᱤ ᱜᱚᱱᱚᱝ ᱪᱮᱫ?,ᱯᱳᱞᱤᱱᱮᱥᱚᱱ ᱯᱚᱨᱤᱥᱮᱵᱟ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱟᱭᱩᱢᱟᱹᱱ ᱟᱭᱩᱢᱟᱹᱱ ᱟᱭᱩᱢᱟᱹᱱ ᱟᱭᱩᱢᱟᱹᱱ ᱟᱭᱩᱢᱟᱹᱱ 112 ᱵᱤᱞᱤᱭᱚᱱ ᱢᱟᱨᱠᱤᱱ ᱰᱚᱞᱟᱨ ᱾
314,ᱵᱟᱨᱭᱟ ᱢᱩᱲᱩᱫ ᱚᱲᱟᱜ ᱨᱮᱱ ᱢᱩᱭᱤ ᱞᱮᱠᱟᱱ ᱫᱚ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱵᱟᱨᱭᱟ ᱢᱩᱲᱩᱫ ᱡᱟᱹᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱮᱯᱤᱥ ᱢᱮᱞᱤᱯᱷᱮᱨᱟ ᱟᱨ ᱮᱯᱤᱥ ᱥᱤᱨᱟᱱᱟ ᱤᱱᱰᱤᱠᱟ ᱾
315,ᱮᱯᱤᱥ ᱥᱤᱨᱟᱱᱟ ᱤᱱᱰᱤᱠᱟ ᱮᱯᱤᱥ ᱢᱮᱞᱤᱯᱷᱮᱨᱟ ᱠᱷᱚᱱ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱷᱮᱜᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱮᱯᱤᱥ ᱥᱤᱨᱟᱱᱟ ᱤᱱᱰᱤᱠᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱦᱩᱰᱤᱧ ᱯᱷᱳᱨᱮᱡᱤᱝ ᱯᱚᱨᱤᱢᱟᱱ (1ᱹ5 ᱠᱤᱞᱳᱢᱤᱴᱟᱨ) ᱢᱮᱱᱟᱜᱼᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱰᱷᱮᱨ ᱚᱠᱛᱚ ᱨᱮᱭᱟᱜ ᱯᱷᱳᱨᱮᱡᱤᱝ ᱚᱠᱛᱚ ᱟᱨ ᱚᱱᱩᱢᱟᱹᱱ ᱨᱮᱭᱟᱜ ᱚᱡᱮᱛᱮ ᱡᱟᱣᱜᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱥᱚᱨᱮᱥ ᱯᱮᱞᱤᱱᱮᱴᱟᱨ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
316,ᱵᱤᱨ ᱢᱩᱭᱤ ᱞᱮᱠᱟᱱ ᱠᱚ ᱥᱟᱢᱲᱟᱣ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱟᱱᱟᱴ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,ᱮᱯᱤᱥ ᱰᱳᱨᱥᱟᱴᱟ ᱟᱨ ᱮᱯᱤᱥ ᱯᱷᱚᱞᱳᱨᱤᱭᱟ ᱞᱮᱠᱟᱱ ᱡᱤᱯᱷᱤ ᱠᱚᱫᱚ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱪᱟᱪᱟᱞᱟᱣ ᱵᱟᱝ ᱦᱳᱭᱳᱜᱼᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱩᱱᱠᱩ ᱫᱚ ᱵᱮᱱᱟᱣᱟᱱ ᱦᱤᱭᱤᱵᱷ ᱨᱮ ᱵᱟᱝ ᱛᱟᱦᱮᱸᱱᱟ ᱾
317,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱢᱩᱭᱟᱹᱠᱚ ᱯᱷᱚᱞᱮ ᱯᱚᱨᱟᱢᱮᱥᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱚᱛᱢᱚᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱛᱟᱦᱮᱸᱱᱟ, ᱠᱟᱹᱢᱤ ᱟᱱ ᱯᱚᱨᱩᱞ ᱪᱟᱞᱟᱣᱟᱱ ᱵᱚᱱᱫᱮᱡ ᱢᱮᱱᱟᱜᱼᱟ, ᱥᱟᱢᱲᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱟᱞᱜᱟ, ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱵᱷᱟᱞᱮ ᱩᱫᱩᱜᱟ, ᱟᱨ ᱟᱭᱢᱟ ᱴᱷᱟᱶ ᱨᱮ ᱪᱟᱞᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
318,ᱯᱮᱞᱤᱱᱮᱴᱟᱨ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱷᱟ ᱠᱚᱢ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱠᱚ ᱪᱮᱫ?,"ᱚᱡᱮ ᱠᱚ ᱢᱩᱫ ᱨᱮ ᱢᱮᱱᱟᱜ ᱟ ᱛᱟᱦᱮᱸᱱ ᱴᱷᱟᱶ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ, ᱠᱤᱢᱤᱥᱟᱭᱰ ᱵᱮᱣᱦᱟᱨ, ᱨᱳᱜᱽ, ᱠᱤᱢᱤᱥᱟᱭ, ᱦᱚᱭᱦᱩᱫᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱟᱨ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱛᱤ ᱠᱷᱮᱹᱞ ᱾"
319,ᱢᱩᱭᱤ ᱨᱮᱭᱟᱜ ᱠᱳᱞᱱᱤ ᱠᱚ ᱡᱟᱦᱟᱸ ᱚᱠᱛᱚ ᱯᱷᱚᱞᱮ ᱨᱮ ᱫᱚᱦᱚ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱯᱨᱟᱭ <ᱟᱭᱰᱤ1> ᱡᱟᱦᱟᱸ ᱚᱠᱛᱚ ᱯᱷᱚᱞᱚᱠ ᱨᱮ ᱯᱷᱚᱞᱟᱣ ᱮᱦᱚᱵᱚᱜᱼᱟ ᱩᱱ ᱚᱠᱛᱚ ᱠᱳᱞᱱᱤ ᱠᱚ ᱛᱷᱟᱯᱚᱱ ᱦᱳᱭᱳᱜᱼᱟ ᱾
320,ᱢᱩᱭᱟᱹ ᱠᱳᱞᱱᱤ ᱠᱚ ᱛᱷᱟᱯᱚᱱ ᱨᱮᱭᱟᱜ ᱴᱷᱟᱶ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱜᱚᱱᱚᱝᱟᱱ?,ᱥᱟᱸᱜᱷᱟᱨ ᱨᱮ ᱠᱷᱚᱨᱪᱟ ᱫᱟᱲᱮ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱯᱚᱨᱟᱢᱮᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱠᱳᱞᱱᱤᱠᱚ ᱯᱷᱚᱞᱚᱠ ᱥᱳᱨ ᱨᱮ ᱫᱚᱦᱚ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱾
321,ᱵᱤᱨ ᱨᱮ ᱢᱩᱭᱟᱹ ᱠᱳᱞᱱᱤ ᱛᱷᱟᱯᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱚᱠᱛᱚ ᱫᱚ ᱪᱮᱫ?,ᱮᱥᱮᱨᱟᱱ ᱯᱚᱨᱟᱢᱮᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱞᱟᱹᱜᱤᱫ 300-500 ᱤᱭᱟᱨᱰ ᱨᱮᱭᱟᱜ ᱛᱟᱞᱟ ᱨᱮ ᱠᱳᱞᱱᱤ ᱠᱚᱫᱚ ᱦᱟᱹᱴᱤᱧ ᱦᱳᱭᱳᱜᱼᱟ ᱾
322,ᱪᱟᱥᱤᱭᱟᱹ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱚᱢ ᱮᱥᱮᱨᱟᱱ ᱪᱟᱥ ᱨᱮ ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ?,ᱪᱟᱥᱤᱭᱟᱹ ᱠᱚ ᱱᱚᱶᱟ ᱴᱚᱴᱷᱟ ᱨᱮ ᱟᱨᱦᱚᱸ ᱰᱷᱮᱨ ᱢᱩᱭᱟᱹ ᱠᱳᱞᱱᱤ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱥᱮ ᱢᱩᱭᱟᱹ ᱠᱚ ᱯᱷᱚᱞᱟ ᱨᱮᱭᱟᱜ ᱟᱨᱩ ᱥᱟᱶ ᱥᱩᱠᱨᱤ ᱥᱤᱨᱚᱯ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱥᱮᱪᱮᱫ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
323,ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱠᱳᱞᱱᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,"ᱢᱟᱨᱟᱝ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱦᱚᱲ ᱞᱮᱠᱷᱟ (<ᱟᱭᱰᱤ1>, 000 ᱢᱩᱭᱟᱹ) ᱥᱟᱶ ᱫᱟᱲᱮᱹᱣᱟᱱ ᱠᱳᱞᱱᱤᱠᱚ ᱨᱮᱭᱟᱜ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱜᱷᱩᱨᱩᱢ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱦᱚᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱫᱚ ᱟᱨᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱯᱚᱨᱟᱢᱮᱥᱚᱱ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
324,ᱢᱩᱭᱟᱹ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱤᱢᱤᱥᱟᱭᱰᱤᱥ ᱠᱷᱚᱱ ᱨᱩᱠᱷᱟᱹᱭᱟᱹ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,ᱮᱥᱯᱨᱟᱭ ᱠᱚᱨᱟᱣ ᱚᱠᱛᱚ ᱢᱩᱭᱤ ᱠᱚ ᱦᱤᱫᱤᱡ ᱨᱮ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱟᱨ ᱥᱤᱵᱤᱪ ᱜᱮᱢᱮᱧ ᱠᱚ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱮᱲᱟᱣ ᱠᱟᱛᱮ ᱩᱱᱠᱩ ᱠᱚ ᱨᱩᱠᱷᱟᱹᱭᱟᱹ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
325,ᱵᱷᱟᱨᱚᱛ ᱨᱮ ᱢᱩᱭᱟᱹ ᱠᱳᱞᱱᱤ ᱧᱟᱢ ᱨᱮᱭᱟᱜ ᱱᱟᱦᱟᱜ ᱵᱷᱮᱜᱟᱨ ᱪᱮᱫ?,"ᱵᱷᱟᱨᱚᱛ ᱨᱮ ᱠᱟᱹᱢᱤᱣᱟᱱ ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱟᱭᱢᱟᱜᱟᱱ 16 ᱠᱳᱴᱤ ᱠᱳᱞᱱᱤ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱱᱟᱦᱟᱜ ᱨᱮ 10 ᱞᱚᱠ ᱠᱷᱚᱱ ᱦᱚᱸ ᱠᱚᱢ ᱠᱳᱞᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
326,ᱯᱟᱥᱱᱟᱶ ᱞᱟᱹᱜᱤᱫ ᱥᱳᱨᱥᱳᱯᱳᱨ ᱢᱩᱭᱟᱹ ᱠᱚ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱵᱟᱝ ᱠᱟᱱᱟ?,ᱢᱩᱭᱟᱹ ᱠᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱛᱚ ᱩᱱᱠᱩᱨᱮᱱ ᱢᱮᱲᱤ ᱨᱮᱭᱟᱜ <ᱟᱭᱰᱤ1> ᱤᱭᱟᱨᱰ ᱢᱩᱫᱨᱮ ᱠᱟᱹᱢᱤ ᱞᱮᱠᱟᱛᱮ ᱜᱷᱩᱨᱩᱢᱚᱜᱼᱟ ᱟᱨ ᱡᱩᱫᱤ ᱯᱷᱚᱞᱮ ᱠᱚᱢ ᱪᱩᱠᱤᱥᱟᱱ ᱦᱳᱭᱳᱜᱼᱟ ᱮᱱᱠᱷᱟᱱ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱵᱟᱝ ᱦᱚᱸ ᱪᱟᱞᱟᱜ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾
327,ᱟᱨᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱯᱳᱞᱤᱱᱮᱥᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱢᱩᱭᱟᱹ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ ᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,ᱢᱩᱭᱤ ᱠᱚ ᱡᱚᱥᱟᱱ ᱯᱷᱚᱞᱟᱹ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱜᱩᱨᱩᱢ ᱥᱟᱶᱛᱮ ᱪᱩᱠᱤ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱯ ᱥᱮᱞᱮᱫ ᱠᱟᱛᱮ ᱠᱚ ᱠᱷᱮᱭᱟᱞ ᱠᱟᱛᱮ ᱥᱮᱪᱮᱫ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
328,ᱥᱟᱹᱵᱩᱫᱟᱱ ᱪᱟᱥ ᱨᱮ ᱯᱚᱞᱤᱱᱟᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱪᱮᱫ ᱮᱱᱮᱢ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱯᱳᱞᱤᱱᱮᱥᱚᱱ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱠᱤᱢᱤᱠᱮᱞ ᱤᱱᱯᱩᱴ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱛᱮ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱯᱷᱚᱞᱮ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱮ ᱵᱟᱹᱲᱛᱤᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱴᱮᱠᱟᱣ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
